video_id,author,comment,likes,published_at
cBpGq-vDr2Y,@Techmej,Rewatching this on my 15 Pro Max to convince myself that the 16 ain’t worth it,0,2024-09-29T20:09:38Z
cBpGq-vDr2Y,@RMsteelerfan7,"I have a question about upgrading…
Read below for more info ⬇️

So basically I have an iPhone SE Gen 2 (2020) right now with horrible battery life and it feels very dated. I would like to upgrade potentially to an iPhone 15 Pro or iPhone 16 Pro (I need at least a pro for the camera stuff, I’m heavy in photography) any suggestions on how to score on a lot cheaper? They’re extremely expensive and I am not made of money lol..thanks!",0,2024-09-29T15:14:28Z
cBpGq-vDr2Y,@johnrolandtorrento,I'm here for MKBHD's production team. Mainly the one who did the montage for this review!! Superb!,2,2024-09-29T04:54:56Z
JwAfHEHQKto,@Mrwhosetheboss,"Subscribe for the full Camera and Battery test coming v soon! 🔥
To see why I flipped from iPhone to the Samsung Z Flip and what happened: https://youtu.be/KLWdtl5S51g",1811,2023-09-19T13:04:39Z
JwAfHEHQKto,@zoro7114,Fancy words,0,2025-02-07T17:33:32Z
JwAfHEHQKto,@MohammedToroko,Please where can i get that wallpaper,0,2025-01-27T09:19:10Z
JwAfHEHQKto,@davidalan07,6:27 out of context,0,2025-01-22T04:06:57Z
JwAfHEHQKto,@AndySenpaii,2:32 bro just predicted the iphone 16 or apple took bro idea lmaoo,0,2025-01-21T09:35:42Z
JwAfHEHQKto,@SkuIIboxEnt,"Watching this on the 15 pro, amazing quality and I’ve cooked up some serious videos and funny/satire videos on my channel.",0,2025-01-21T01:49:55Z
JwAfHEHQKto,@hyweltthomas,Cool review but you didn’t mention the reason I just upgraded to the 15 Pro. Apple Log.,0,2025-01-13T00:38:17Z
JwAfHEHQKto,@Jahvontee,bro predicted the iphone 16,0,2025-01-09T22:42:34Z
JwAfHEHQKto,@johnsheppard7809,So do I buy a 15 pro max or 15 plus?,0,2025-01-06T23:13:11Z
JwAfHEHQKto,@WillandLiam789,Why do I feel that Apple watched this video and took his complaints and turned them into the iPhone 16😂,0,2025-01-02T07:46:54Z
JwAfHEHQKto,@ArjyaDas2006,2:31 bro predicted camera control 💀,20,2024-12-27T06:29:27Z
JwAfHEHQKto,@desithapeiris1478,Wallpaper?,0,2024-12-24T13:29:40Z
JwAfHEHQKto,@corinalastimosa2326,excellent review. i am getting iphone 15 pro tomorrow. i dont need the 5x zoom or better battery.,0,2024-12-23T02:13:10Z
JwAfHEHQKto,@edwardovalle4154,Why can't they just admit how much those phones suck??,1,2024-12-21T21:52:59Z
JwAfHEHQKto,@BxnMxss,But:🎵🎵🎵🎵🎶🎶,1,2024-12-20T20:38:07Z
JwAfHEHQKto,@idkrblx,The cat was a paid actor!,0,2024-12-14T18:12:56Z
JwAfHEHQKto,@bxnia_,send me one for free 😄,0,2024-12-10T11:53:02Z
JwAfHEHQKto,@Lennxxyx,I still use a iPhone 5 so i will Upgrade,0,2024-12-02T20:11:59Z
JwAfHEHQKto,@NEZUKOCODM,I upgraded from 11 to 15 pro. Best ever,3,2024-12-02T14:18:41Z
